inds,grades
0,1
1,1
2,5
3,1
4,1
5,1
6,1
7,1
8,5
9,5
10,1
11,1
12,5
13,5
14,1
15,1
16,5
17,5
18,5
19,1
20,1
21,5
22,3
23,1
24,1
25,5
26,5
27,1
28,1
29,1
30,3
31,1
32,1
33,5
34,1
35,1
36,5
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,5
46,1
47,5
48,5
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,5
59,4
60,1
61,1
62,1
63,1
64,5
65,1
66,1
67,1
68,1
69,1
70,5
71,1
72,5
73,1
74,5
75,1
76,1
77,5
78,1
79,5
80,1
81,1
82,1
83,5
84,1
85,1
86,1
87,1
88,1
89,5
90,1
91,5
92,3
93,1
94,5
95,5
96,5
97,1
98,3
99,1
100,5
101,1
102,5
103,1
104,5
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,5
113,5
114,1
115,5
116,4
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,2
135,5
136,5
137,5
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,5
149,1
150,1
151,5
152,5
153,1
154,1
155,1
156,1
157,1
158,5
159,1
160,1
161,5
162,1
163,1
164,1
165,1
166,1
167,5
168,1
169,1
170,5
171,5
172,1
173,1
174,5
175,1
176,1
177,5
178,1
179,5
180,5
181,1
182,5
183,1
184,1
185,5
186,1
187,1
188,5
189,5
190,1
191,5
192,5
193,1
194,1
195,1
196,5
197,1
198,1
199,1
200,3
201,1
202,1
203,5
204,5
205,2
206,5
207,1
208,1
209,1
210,5
211,1
212,5
213,1
214,1
215,1
216,5
217,1
218,1
219,1
220,5
221,1
222,1
223,1
224,1
225,1
226,1
227,5
228,3
229,5
230,1
231,1
232,1
233,1
234,5
235,1
236,5
237,1
238,1
239,1
240,1
241,1
242,5
243,1
244,1
245,2
246,1
247,1
248,1
249,2
250,5
251,1
252,1
253,5
254,1
255,1
256,5
257,5
258,1
259,1
260,1
261,5
262,1
263,1
264,1
265,5
266,5
267,1
268,1
269,5
270,1
271,1
272,5
273,1
274,5
275,5
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,5
287,5
288,1
289,5
290,1
291,1
292,1
293,5
294,5
295,1
296,1
297,2
298,1
299,1
300,1
301,1
302,1
303,5
304,1
305,1
306,1
307,5
308,1
309,1
310,1
311,1
312,5
313,2
314,1
315,1
316,1
317,1
318,5
319,1
320,1
321,4
322,1
323,1
324,1
325,5
326,1
327,1
328,5
329,5
330,3
331,5
332,1
333,5
334,1
335,1
336,1
337,5
338,1
339,5
340,1
341,1
342,1
343,1
344,1
345,5
346,1
347,1
348,5
349,1
350,1
351,1
352,1
353,1
354,5
355,1
356,5
357,5
358,1
359,5
360,5
361,1
362,5
363,1
364,1
365,1
366,1
367,5
368,4
369,5
370,1
371,1
372,1
373,1
374,5
375,1
376,1
377,1
378,1
379,1
380,2
381,1
382,1
383,3
384,1
385,1
386,1
387,5
388,1
389,1
390,3
391,2
392,1
393,1
394,1
395,5
396,5
397,1
398,5
399,1
400,1
401,1
402,5
403,1
404,1
405,1
406,5
407,4
408,1
409,5
410,1
411,1
412,1
413,1
414,1
415,1
416,5
417,1
418,1
419,5
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,2
428,5
429,1
430,1
431,1
432,3
433,1
434,1
435,1
436,5
437,5
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,5
447,1
448,1
449,1
450,1
451,1
452,1
453,2
454,5
455,1
456,5
457,1
458,1
459,5
460,5
461,1
462,5
463,2
464,3
465,1
466,5
467,1
468,5
469,1
470,5
471,1
472,5
473,2
474,5
475,1
476,5
477,1
478,1
479,1
480,1
481,1
482,1
483,5
484,4
485,5
486,1
487,1
488,1
489,1
490,5
491,3
492,5
493,5
494,1
495,3
496,5
497,5
498,5
499,1
500,1
501,1
502,1
503,4
504,1
505,5
506,5
507,1
508,1
509,1
510,5
511,1
512,5
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,5
523,5
524,1
525,1
526,1
527,1
528,5
529,1
530,1
531,2
532,3
533,5
534,1
535,1
536,1
537,5
538,1
539,1
540,1
541,5
542,1
543,1
544,1
545,1
546,5
547,1
548,1
549,1
550,1
551,5
552,1
553,5
554,5
555,1
556,1
557,1
558,5
559,1
560,1
561,5
562,5
563,1
564,5
565,1
566,5
567,1
568,5
569,2
570,1
571,1
572,1
573,1
574,5
575,5
576,1
577,1
578,5
579,4
580,5
581,5
582,1
583,4
584,5
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,5
595,1
596,5
597,1
598,1
599,5
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,5
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,5
620,1
621,5
622,1
623,1
624,2
625,5
626,5
627,1
628,1
629,1
630,5
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,5
639,1
640,3
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,3
650,1
651,1
652,1
653,5
654,3
655,5
656,1
657,1
658,1
659,1
660,1
661,5
662,5
663,1
664,1
665,5
666,1
667,1
668,1
669,1
670,1
671,5
672,1
673,1
674,1
675,1
676,1
677,1
678,5
679,5
680,1
681,1
682,5
683,5
684,5
685,1
686,2
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,5
695,2
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,5
704,5
705,5
706,5
707,1
708,5
709,1
710,1
711,1
712,1
713,5
714,1
715,1
716,5
717,1
718,1
719,1
720,1
721,5
722,5
723,5
724,5
725,1
726,1
727,1
728,1
729,1
730,5
731,1
732,1
733,1
734,5
735,1
736,1
737,1
738,1
739,5
740,5
741,1
742,1
743,5
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,5
753,1
754,1
755,1
756,5
757,1
758,1
759,1
760,1
761,2
762,1
763,1
764,1
765,5
766,1
767,1
768,5
769,1
770,1
771,5
772,1
773,3
774,1
775,1
776,5
777,1
778,5
779,4
780,5
781,5
782,5
783,1
784,1
785,1
786,1
787,5
788,1
789,1
790,5
791,5
792,1
793,5
794,1
795,1
796,1
797,5
798,5
799,1
800,5
801,5
802,5
803,1
804,1
805,1
806,1
807,2
808,1
809,1
810,1
811,1
